1;-1400,000000;-1399,999301;-1399,999486;0,000620;0,055895;-1355,973748;-1378,475813;66,138286;1,709356;-1400,000000;-1400,000000;0,000000;2,697330;-1399,999999;-1400,000000;0,000001;1,303010;-1400,000000;-1400,000000;0,000000;0,011727;
2;-1300,000000;-496,657046;-796,495097;744,231569;0,062120;86373,861889;35424,703621;146186,025398;1,698535;56632,755726;-1300,000000;283811,381842;2,510467;-1250,596364;-1278,798570;71,165426;1,329651;-1300,000000;-1300,000000;0,000000;0,015737;
3;-1200,000000;-1199,697480;-1199,917254;0,626255;0,059795;74274,986104;5395,251519;184257,050933;0,041059;34030706,155460;468561,218204;55491162,288355;0,747708;1394382,319841;-1199,988002;2394821,227786;1,317914;2299905,085277;-1200,000000;11225754,725881;0,016983;
4;-1100,000000;-1099,075598;-1099,958052;1,760035;0,059810;12211,592481;-1099,685926;38559,178754;1,689577;542976,391918;-1100,000000;2605282,293342;2,329540;-1099,970306;-1099,988234;0,037532;1,327910;-1100,000000;-1100,000000;0,000000;0,010615;
5;-1000,000000;-999,995743;-999,996133;0,002849;0,059880;-987,665249;-994,747675;16,551161;1,692415;-1000,000000;-1000,000000;0,000000;1,079086;-999,999603;-999,999746;0,000377;1,316047;-1000,000000;-1000,000000;0,000000;0,018438;
6;-900,000000;-899,999520;-899,999998;0,001074;0,056953;-899,848134;-899,918114;0,205952;1,682685;-899,989888;-900,000000;0,034320;2,466723;-899,980802;-899,984192;0,012387;1,307659;-900,000000;-900,000000;0,000000;0,014936;
7;-800,000000;-795,968463;-799,902212;8,707814;0,071242;-785,485451;-785,262804;11,130555;0,043438;26684,896785;-752,845118;56196,465695;0,770835;-795,048908;-794,956541;3,608515;1,330660;221984,394302;211404,195422;83898,279429;0,006858;
8;-700,000000;-697,885663;-699,888909;5,963975;0,065973;-682,914808;-680,351455;4,480522;0,037091;-681,715450;-679,997057;4,472948;0,452229;-679,996959;-679,998718;0,003927;1,336719;-679,968190;-679,990033;0,055632;0,009083;
9;-600,000000;-599,957948;-599,950725;0,022290;0,306628;-599,354812;-599,334620;0,218877;0,070192;-598,333835;-598,221219;0,639443;2,612479;-598,304194;-598,216630;0,227855;1,572540;-597,459189;-597,429233;0,187653;0,011473;
10;-500,000000;-499,978944;-499,986397;0,017865;0,060365;-495,662646;-497,911238;5,122527;1,692102;-499,701817;-499,940822;0,905195;2,460452;-499,586417;-499,772838;0,521773;1,317150;-496,826702;-497,889049;3,706848;0,010664;
